Date,Open,High,Low,Close,Adjusted_close,Volume
1991-10-08,1056.84,1069.03,1050.15,1062.71,1062.71,170000000
1991-10-09,1061.92,1069.54,1050.0601,1056.8,1056.8,186590000
1991-10-10,1058.41,1071.8,1051.47,1068.48,1068.48,164120000
1991-10-11,1070.7,1078.55,1062.5699,1073.1899,1073.1899,146560000
1991-10-14,1073.5601,1090.97,1070.42,1087.87,1087.87,130110000
1991-10-15,1089.03,1102.33,1081.22,1095.95,1095.95,213440000
1991-10-16,1096.09,1115.0699,1088.71,1108.15,1108.15,225290000
1991-10-17,1105.65,1115.58,1095.26,1106.62,1106.62,202780000
1991-10-18,1107.55,1117.89,1101.17,1112.0699,1112.0699,204030000
1991-10-21,1111.29,1114.66,1099.05,1106.0699,1106.0699,153770000
1991-10-22,1104.13,1115.3,1093.83,1101.45,1101.45,194120000
1991-10-23,1104.41,1110.45,1092.4,1101.03,1101.03,185340000
1991-10-24,1099.6,1105.51,1081.5,1089.4,1089.4,178990000
1991-10-25,1088.75,1095.45,1076.5601,1085.7,1085.7,167260000
1991-10-28,1088.9399,1103.99,1083.86,1100.02,1100.02,160220000
1991-10-29,1101.5,1112.12,1092.26,1105.88,1105.88,192700000
1991-10-30,1106.48,1117.47,1098.77,1111.01,1111.01,195340000
1991-10-31,1110.45,1118.35,1101.13,1110.22,1110.22,179490000
1991-11-01,1110.92,1118.86,1098.08,1106.78,1106.78,205750000
1991-11-04,1103.25,1110.13,1094.89,1104.27,1104.27,155530000
1991-11-05,1101.8199,1110.13,1093.74,1099.33,1099.33,171950000
1991-11-06,1100.16,1108.51,1090.64,1101.4,1101.4,167370000
1991-11-07,1102.14,1114.5601,1095.4,1109.48,1109.48,205440000
